Easting,Northing,Depth (Proc),Primary Depth,Secondary Depth
146276.605,6834630.534,6.527,11.237,11.195
146276.661,6834630.580,6.541,11.253,11.202
146276.733,6834630.618,6.550,11.262,11.210
146276.805,6834630.662,6.552,11.265,11.240
146276.888,6834630.686,6.557,11.269,11.254
146276.985,6834630.715,6.561,11.273,11.245
146277.076,6834630.732,6.566,11.278,11.255
146277.167,6834630.749,6.578,11.290,11.266
146277.263,6834630.765,6.589,11.301,11.277
146277.375,6834630.787,6.598,11.310,11.276
146277.469,6834630.791,6.605,11.319,11.304
146277.561,6834630.808,6.610,11.325,11.301
146277.652,6834630.824,6.620,11.337,11.378
146277.739,6834630.848,6.629,11.350,11.338
146277.831,6834630.871,6.640,11.363,11.351
146277.902,6834630.897,6.654,11.380,11.360
146277.964,6834630.929,6.677,11.406,11.371
146278.027,6834630.961,6.690,11.422,11.378
146278.077,6834630.995,6.710,11.444,11.396
146278.124,6834631.035,6.731,11.467,11.409
146278.167,6834631.089,6.727,11.464,11.427
146278.198,6834631.144,6.723,11.462,11.423
146278.221,6834631.205,6.726,11.466,11.448
146278.247,6834631.260,6.736,11.477,11.450
146278.268,6834631.342,6.746,11.488,11.464
146278.287,6834631.410,6.773,11.516,11.497
146278.303,6834631.485,6.779,11.521,11.495
146278.318,6834631.561,6.778,11.520,11.508
146278.345,6834631.660,6.792,11.533,11.506
146278.370,6834631.741,6.808,11.548,11.554
146278.399,6834631.822,6.823,11.562,11.524
146278.440,6834631.901,6.841,11.578,11.541
146278.486,6834631.980,6.863,11.598,11.553
146278.545,6834632.057,6.875,11.607,11.569
146278.620,6834632.133,6.867,11.596,11.556
146278.694,6834632.190,6.881,11.606,11.562
146278.776,6834632.253,6.880,11.601,11.561
146278.870,6834632.301,6.888,11.605,11.571
146278.974,6834632.356,6.897,11.611,11.575
146279.075,6834632.391,6.907,11.617,11.569
146279.210,6834632.423,6.937,11.644,11.584
146279.327,6834632.443,6.939,11.644,11.583
146279.445,6834632.471,6.950,11.654,11.581
146279.557,6834632.486,6.947,11.651,11.572
146279.678,6834632.500,6.944,11.648,11.574
146279.811,6834632.506,6.946,11.654,11.585
146279.914,6834632.516,6.948,11.659,11.592
146280.021,6834632.525,6.945,11.660,11.656
146280.115,6834632.528,6.956,11.676,11.627
146280.206,6834632.545,6.973,11.698,11.638
146280.305,6834632.555,7.000,11.731,11.647
146280.375,6834632.568,6.989,11.726,11.685
146280.440,6834632.587,6.992,11.734,11.694
146280.498,6834632.614,7.001,11.747,11.677
146280.552,6834632.640,7.028,11.778,11.703
146280.589,6834632.669,7.064,11.817,11.704
146280.628,6834632.716,7.019,11.774,11.710
146280.650,6834632.772,7.024,11.779,11.729
146280.672,6834632.827,7.044,11.798,11.751
146280.687,6834632.896,7.079,11.831,11.780
146280.702,6834632.965,7.071,11.819,11.755
146280.710,6834633.041,7.075,11.818,11.762
146280.728,6834633.148,7.118,11.854,11.780
146280.737,6834633.237,7.097,11.827,11.775
146280.759,6834633.337,7.108,11.829,11.790
146280.777,6834633.432,7.116,11.831,11.776
146280.803,6834633.531,7.126,11.832,11.802
146280.844,6834633.649,7.143,11.839,11.792
146280.888,6834633.747,7.149,11.839,11.792
146280.939,6834633.838,7.156,11.838,11.798
146280.994,6834633.923,7.167,11.844,11.815
146281.060,6834633.993,7.188,11.860,11.795
146281.127,6834634.070,7.178,11.845,11.802
146281.210,6834634.139,7.184,11.849,11.805
146281.288,6834634.189,7.203,11.866,11.820
146281.372,6834634.226,7.198,11.861,11.813
146281.457,6834634.262,7.212,11.875,11.843
146281.545,6834634.292,7.223,11.889,11.832
146281.641,6834634.315,7.266,11.935,11.844
146281.731,6834634.326,7.245,11.919,11.853
146281.818,6834634.343,7.241,11.920,11.865
146281.904,6834634.348,7.241,11.925,11.870
146281.990,6834634.359,7.241,11.932,11.894
146282.080,6834634.369,7.247,11.943,11.892
146282.176,6834634.386,7.247,11.950,11.903
146282.258,6834634.404,7.253,11.963,11.918
146282.345,6834634.415,7.261,11.975,11.931
146282.420,6834634.446,7.266,11.986,11.939
146282.499,6834634.464,7.268,11.993,11.944
146282.579,6834634.507,7.273,12.001,11.962
146282.651,6834634.545,7.280,12.012,11.965
146282.716,6834634.597,7.293,12.026,11.974
146282.783,6834634.635,7.363,12.099,11.983
146282.844,6834634.693,7.298,12.035,12.031
146282.906,6834634.764,7.299,12.037,11.999
146282.960,6834634.830,7.301,12.041,12.002
146283.008,6834634.895,7.310,12.051,12.007
146283.053,6834634.961,7.322,12.064,12.024
146283.094,6834635.034,7.333,12.076,12.028
146283.130,6834635.101,7.341,12.084,12.030
146283.177,6834635.186,7.358,12.103,12.036
146283.214,6834635.260,7.395,12.141,12.046
146283.251,6834635.339,7.384,12.130,12.079
146283.292,6834635.412,7.379,12.126,12.058
146283.334,6834635.491,7.372,12.120,12.064
146283.378,6834635.557,7.373,12.122,12.071
146283.434,6834635.654,7.380,12.129,12.081
146283.487,6834635.720,7.395,12.144,12.090
146283.545,6834635.791,7.406,12.155,12.099
146283.616,6834635.861,7.409,12.157,12.130
146283.696,6834635.943,7.414,12.161,12.131
146283.778,6834635.999,7.422,12.167,12.124
146283.857,6834636.062,7.424,12.167,12.116
146283.947,6834636.117,7.439,12.179,12.114
146284.037,6834636.166,7.441,12.178,12.135
146284.144,6834636.214,7.445,12.178,12.109
146284.238,6834636.262,7.449,12.176,12.106
146284.339,6834636.291,7.466,12.189,12.113
146284.467,6834636.343,7.486,12.203,12.110
146284.564,6834636.372,7.483,12.195,12.120
146284.665,6834636.401,7.470,12.177,12.110
146284.774,6834636.429,7.470,12.172,12.108
146284.870,6834636.452,7.472,12.168,12.101
146284.958,6834636.488,7.473,12.167,12.103
146285.050,6834636.511,7.475,12.164,12.096
146285.165,6834636.558,7.474,12.159,12.116
146285.250,6834636.595,7.476,12.160,12.104
146285.326,6834636.632,7.486,12.168,12.132
146285.403,6834636.683,7.492,12.173,12.101
146285.485,6834636.739,7.497,12.177,12.117
146285.550,6834636.790,7.496,12.177,12.112
146285.615,6834636.848,7.513,12.195,12.126
146285.672,6834636.913,7.514,12.198,12.125
146285.725,6834636.978,7.498,12.185,12.140
146285.778,6834637.044,7.495,12.184,12.136
146285.823,6834637.110,7.502,12.195,12.152
